Gender Mode Frequency KidsInTheHousehold Age YearsLivingResidence SES x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21
1 0 2 0 2 10 2 4 4 4 3 4 2 3 5 4 5 4 4 3 3 3 3 3 3 3 3 3
0 0 2 1 1 8 1 1 1 4 1 1 3 1 2 1 1 1 3 3 3 3 3 3 3 3 3 1
1 0 6 0 3 5 3 3 3 1 3 3 5 2 3 4 3 3 3 3 3 3 3 3 3 3 3 1
1 0 2 1 3 9 2 4 4 3 4 4 2 4 2 5 1 1 4 2 2 2 2 2 2 2 2 4
1 1 3 0 2 14 2 4 4 2 4 5 1 4 2 3 5 2 5 4 5 5 4 4 4 4 4 3
0 1 3 1 5 5 3 4 5 4 4 4 2 5 4 5 4 3 4 5 5 5 5 5 5 5 5 3
0 1 4 1 4 4 2 3 3 1 3 3 1 4 3 2 1 3 2 5 5 5 5 5 5 5 5 4
0 0 1 0 1 7 2 1 1 5 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 5
0 0 2 1 3 5 2 2 2 5 2 2 4 3 4 5 2 5 1 5 5 5 5 5 5 5 5 4
1 0 5 1 4 10 1 5 5 5 5 5 3 5 5 5 4 5 1 5 5 5 4 4 4 4 4 4
0 2 3 1 4 6 3 4 3 5 3 3 2 3 5 5 5 5 1 5 5 5 4 5 5 5 5 5
0 1 4 0 2 5 3 1 1 4 1 1 3 1 4 5 5 5 3 4 4 4 4 4 4 4 4 4
0 1 1 1 3 5 2 3 3 5 3 2 2 3 4 3 4 4 3 4 4 4 4 5 4 4 4 2
1 2 3 1 3 14 2 5 5 4 5 5 2 5 1 3 3 3 3 3 3 3 2 1 2 2 1 1
1 1 2 1 3 6 2 4 4 1 4 4 4 4 2 1 3 3 1 3 3 3 3 3 3 3 3 3
1 1 3 0 2 6 2 3 3 3 3 3 5 3 5 5 4 5 4 1 1 1 1 1 1 1 1 3
1 1 5 1 2 6 2 3 4 1 3 3 5 3 2 4 4 2 2 3 3 4 4 4 4 4 4 2
1 0 4 1 4 9 2 5 5 1 5 5 1 5 3 4 5 5 5 2 2 2 2 2 2 3 3 2
1 0 1 0 2 2 2 4 4 4 4 4 5 4 2 4 4 5 5 3 3 3 3 3 3 3 3 3
1 1 3 2 4 3 1 5 5 1 5 5 3 5 2 1 2 3 2 1 1 1 1 2 1 1 1 1
0 2 2 0 1 5 1 1 1 1 1 1 5 1 2 1 3 1 4 3 3 3 3 3 3 3 3 4
1 0 5 2 3 8 1 5 5 5 5 5 5 5 4 1 3 1 1 3 3 3 3 3 3 3 3 2
1 0 6 1 1 10 1 2 2 5 2 2 1 2 5 3 3 2 2 2 2 2 2 2 2 2 2 1
0 1 6 0 1 7 2 1 1 5 1 1 3 1 5 3 5 2 3 1 1 1 1 1 1 1 1 4
1 0 5 1 3 3 2 5 5 2 5 5 4 5 5 5 5 5 1 1 1 1 1 1 1 1 1 3
1 1 6 1 2 5 3 4 4 4 4 4 2 4 4 2 2 4 4 4 4 4 4 4 3 4 5 4
1 1 4 0 3 9 1 5 5 3 5 5 3 4 4 2 3 4 1 2 2 2 2 1 2 2 2 5
1 2 3 1 2 3 2 5 5 5 5 4 1 4 5 2 3 4 1 1 1 1 1 1 1 1 1 2
0 0 5 1 3 11 2 3 2 3 2 2 3 2 2 4 2 1 2 2 2 2 2 2 2 2 2 2
0 1 1 0 2 9 2 1 1 4 1 1 3 1 2 4 5 1 5 2 2 2 1 1 1 2 2 2
0 0 5 0 3 8 1 2 2 1 2 2 5 2 5 3 2 2 3 3 3 3 3 3 3 3 3 3
0 1 1 0 2 8 3 1 1 4 1 1 3 1 3 4 2 2 4 4 4 4 4 4 3 4 4 5
0 2 1 0 3 7 3 1 2 2 1 1 2 1 2 5 4 5 5 5 5 5 5 5 5 5 5 4
0 0 6 1 1 12 2 1 1 3 1 1 2 2 3 2 2 5 4 2 2 3 2 2 2 2 2 4
1 1 1 1 2 5 2 4 4 4 4 4 5 4 2 3 5 4 2 3 3 2 4 4 4 3 3 5
1 2 1 2 3 8 2 5 5 3 5 5 4 4 1 1 3 1 5 2 2 3 2 2 2 2 2 2
1 0 3 0 3 11 2 5 5 4 5 5 2 5 3 1 1 1 4 1 1 1 1 1 1 1 1 5
1 1 3 0 4 4 2 4 4 1 4 4 1 4 3 4 5 4 3 4 4 4 4 5 4 3 3 5
0 0 2 2 2 6 1 2 2 5 2 2 4 1 1 1 1 1 1 3 3 3 3 3 3 3 3 1
1 0 1 0 3 10 3 5 5 5 5 5 5 5 2 4 4 3 4 5 5 5 5 5 4 5 5 1
1 2 1 0 3 4 3 5 5 4 5 5 4 5 3 4 4 3 3 3 3 3 4 4 4 4 4 3
1 0 4 0 5 11 1 5 5 5 5 5 2 5 2 3 4 4 1 1 1 1 1 1 1 1 1 1
0 0 1 0 2 5 2 1 1 4 1 1 3 1 5 1 1 2 2 4 4 4 3 3 3 4 4 3
1 1 2 1 2 6 2 5 5 4 5 5 3 5 3 4 5 4 3 2 2 3 1 1 1 2 2 3
0 1 1 0 4 9 2 3 3 4 3 3 1 2 2 5 4 5 4 4 4 4 4 4 4 4 4 5
1 2 4 0 2 13 2 5 5 5 5 5 4 5 3 5 2 2 5 3 3 3 3 3 2 3 3 5
0 2 2 1 2 4 1 1 2 1 1 1 3 1 4 4 4 3 2 3 3 2 4 3 3 3 3 2
0 1 2 0 1 9 3 1 1 4 1 1 5 1 2 3 1 2 2 3 3 3 2 2 2 3 4 4
0 1 1 1 3 9 1 2 2 4 2 2 3 1 3 3 2 4 1 4 4 5 4 4 4 4 4 4
0 2 4 1 3 10 2 2 2 2 2 2 4 3 3 1 5 3 4 4 4 4 3 3 3 4 4 5
0 2 6 0 3 11 2 2 2 2 2 2 4 1 3 2 2 2 5 5 5 5 5 5 5 5 5 1
0 2 6 0 3 8 1 2 2 4 2 2 5 1 1 2 3 2 2 5 5 5 5 5 5 5 5 3
1 0 2 0 1 13 1 2 2 3 2 2 5 2 1 1 1 4 3 1 1 1 1 1 1 1 2 5
0 1 3 1 3 9 2 3 3 1 2 3 4 3 4 3 3 3 2 3 3 3 3 3 3 3 3 5
1 2 2 1 3 8 1 4 4 3 4 4 3 4 2 2 2 5 5 1 1 1 1 1 1 1 1 2
0 2 5 0 3 13 2 1 2 2 2 2 2 3 2 3 5 4 3 4 4 4 3 4 3 4 3 5
1 0 6 0 3 8 2 3 4 2 4 3 1 4 5 1 1 3 2 2 2 2 1 1 1 2 2 5
0 1 1 2 2 9 1 2 2 1 2 2 2 2 4 2 5 2 2 1 1 1 1 1 1 1 1 2
1 0 2 0 3 8 1 4 4 4 4 3 3 4 2 1 1 1 5 4 4 4 3 3 3 4 4 3
1 0 6 1 2 7 1 3 4 3 4 4 2 4 2 2 5 1 2 3 3 4 3 3 3 3 3 4
0 0 5 0 3 5 1 1 1 5 1 1 1 2 1 2 1 3 3 4 4 4 4 4 4 4 4 1
1 1 6 1 2 12 1 3 3 4 3 3 1 3 1 2 3 2 1 3 3 3 3 3 4 3 3 4
1 1 3 0 2 14 3 2 2 3 2 2 2 2 3 1 2 2 1 3 3 4 3 3 3 3 4 3
1 0 5 1 2 7 2 5 5 4 5 5 3 4 5 5 5 5 4 4 4 4 4 4 4 4 4 2
0 2 5 0 1 6 2 1 1 2 1 1 4 1 4 3 3 3 2 1 1 1 2 2 2 1 1 1
1 0 1 0 2 9 2 4 4 5 4 3 1 3 2 1 2 1 2 2 2 2 3 3 3 2 2 5
0 1 4 0 5 12 3 3 3 3 3 3 3 3 3 4 2 3 3 5 5 5 5 5 5 5 5 4
1 2 5 1 4 4 1 4 4 4 4 4 3 3 5 4 5 4 5 4 4 4 4 4 4 4 3 4
1 2 3 0 1 5 2 3 3 1 3 3 5 4 1 2 1 1 3 1 1 1 1 1 1 1 1 4
1 0 6 1 3 10 1 5 5 5 5 5 4 5 4 3 2 1 4 2 2 2 2 2 2 2 2 2
1 0 4 1 2 7 2 3 3 5 3 3 1 4 5 5 5 5 2 1 1 1 1 1 1 1 1 1
0 2 6 1 2 8 2 2 2 4 2 2 4 2 3 4 4 2 2 3 3 3 3 3 3 3 3 5
0 0 5 1 4 8 2 3 3 2 3 3 4 3 4 3 2 2 3 3 3 3 3 3 3 3 3 3
1 2 5 1 3 5 2 5 5 5 5 5 2 5 3 4 5 5 1 4 4 3 5 5 5 4 4 4
1 1 5 1 2 11 2 5 5 4 5 5 4 5 3 4 4 5 4 2 2 2 2 2 2 2 2 2
1 0 5 0 3 7 2 4 4 1 5 4 1 4 3 2 3 2 4 3 3 2 3 3 4 3 3 2
0 2 5 1 4 6 1 3 3 1 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 5
1 2 6 1 4 9 1 5 5 3 5 5 5 5 4 1 1 1 2 5 5 5 4 4 4 5 5 5
0 2 5 0 4 7 2 2 3 4 3 3 3 3 3 4 3 2 4 4 4 4 4 4 5 4 4 3
1 1 2 0 2 1 3 5 5 2 5 4 2 4 5 2 1 1 1 2 2 2 2 2 2 2 1 1
1 1 3 0 4 8 2 5 5 5 5 5 3 5 2 4 5 2 2 1 1 1 1 1 1 1 1 1
0 0 5 1 3 7 2 3 3 4 3 3 5 3 1 3 3 4 1 5 5 5 5 5 5 5 5 2
1 2 4 1 4 8 2 5 5 1 5 5 1 5 3 2 2 2 2 2 2 2 2 2 2 2 2 5
1 1 4 1 4 14 3 5 5 4 5 5 5 5 5 5 5 5 3 1 1 1 1 1 1 1 1 1
1 2 5 1 4 5 1 5 5 3 5 5 3 5 3 2 2 3 4 1 1 1 1 1 1 1 1 1
1 2 5 1 3 4 2 4 4 2 4 4 4 4 5 3 3 5 1 2 2 3 2 2 2 2 2 1
0 1 2 0 2 11 3 1 1 4 1 1 1 1 4 2 5 3 1 3 3 3 3 3 3 3 4 1
1 2 1 1 2 7 2 4 4 3 4 4 1 5 3 3 3 3 1 1 1 1 1 1 1 1 1 5
0 1 2 1 3 10 3 3 3 5 3 3 5 3 5 5 5 5 4 4 4 4 4 4 4 4 4 3
0 1 6 1 3 3 2 3 3 5 3 3 1 2 1 5 4 2 3 3 3 3 3 3 3 3 3 4
0 0 4 0 2 8 1 1 1 2 1 1 2 1 2 2 3 2 3 2 2 2 2 2 2 2 3 4
0 0 1 1 4 13 2 3 3 1 3 3 1 3 5 4 5 5 4 4 4 4 4 4 4 4 4 4
1 0 5 0 1 8 2 1 1 3 1 1 1 2 1 2 2 2 3 2 2 2 3 2 3 1 2 4
0 1 4 1 5 4 3 4 4 3 4 4 1 3 2 5 3 5 1 5 5 5 5 5 5 5 5 4
0 0 3 1 3 12 1 3 3 2 3 3 4 2 1 2 2 2 4 2 2 2 2 2 2 2 2 4
0 2 2 0 2 6 2 1 1 1 1 1 2 1 2 1 2 1 3 2 2 2 2 1 2 2 1 5
0 2 4 0 3 8 2 2 2 5 2 2 5 1 3 3 4 5 3 4 5 5 5 5 5 5 5 5
1 0 1 0 5 15 1 5 5 4 5 5 2 5 4 4 2 3 2 2 2 1 2 3 2 2 2 1
0 1 2 0 1 4 3 1 1 5 1 1 2 1 5 4 2 4 4 4 4 4 4 4 4 4 4 5
0 2 3 0 5 5 2 3 3 3 3 3 4 3 5 4 4 4 4 5 5 5 5 5 5 5 5 1
1 2 4 1 2 8 3 3 4 3 4 4 4 4 1 2 3 2 2 3 3 3 3 3 3 3 3 4
1 0 2 0 4 10 2 5 5 1 5 5 1 4 2 5 4 4 4 2 3 3 3 3 3 3 3 2
1 1 6 0 3 3 2 5 5 2 5 5 4 5 4 4 4 4 2 2 2 2 2 2 2 2 2 3
1 0 3 0 3 10 2 3 2 1 2 3 1 2 3 5 4 5 2 5 5 5 5 5 5 5 4 4
0 0 5 0 2 10 1 1 1 1 1 1 3 1 2 1 2 3 3 1 1 2 1 1 1 1 1 2
1 2 2 0 3 13 2 4 4 4 4 3 1 3 5 5 5 3 3 5 5 5 5 5 5 5 5 3
1 1 2 1 1 10 1 3 4 2 3 3 2 2 4 1 2 1 3 1 1 1 1 1 1 1 1 2
0 2 3 1 2 7 2 1 1 4 1 1 3 1 4 4 1 3 1 3 3 3 3 3 3 3 3 5
0 0 2 1 5 11 2 4 4 2 4 4 2 4 3 4 4 2 1 1 1 1 1 1 1 1 1 2
1 1 1 0 4 8 1 5 5 4 5 5 4 5 3 1 3 1 1 2 2 3 2 2 2 2 2 3
0 0 1 0 1 6 2 1 1 3 1 1 2 1 1 1 3 2 3 5 5 5 5 4 5 4 5 5
1 1 3 2 2 10 1 5 5 5 5 5 3 5 5 5 4 4 1 2 2 3 2 2 2 2 3 3
0 0 4 0 1 10 3 1 1 1 1 1 3 1 3 5 5 5 4 4 4 4 4 4 4 4 4 3
1 0 3 0 3 11 1 4 4 5 4 4 4 3 5 3 4 3 3 1 1 1 1 1 1 1 1 4
0 1 1 0 4 16 2 3 3 4 3 3 4 3 5 4 2 3 2 5 5 5 5 5 5 5 5 5
0 1 5 0 3 5 2 1 2 5 2 2 4 2 4 5 5 5 4 4 4 4 4 4 4 4 5 4
0 1 4 1 2 7 3 2 2 2 2 2 3 2 4 5 4 4 5 1 1 1 1 1 1 1 1 5
1 2 3 0 3 5 1 3 3 4 3 3 4 2 3 1 2 1 4 2 2 3 2 2 2 2 2 2
0 0 4 1 4 6 1 3 3 3 3 3 2 3 4 3 4 3 3 2 2 2 2 2 2 2 1 1
0 0 5 0 1 7 2 1 1 3 1 1 3 1 3 3 5 1 3 5 5 5 5 5 5 5 5 1
1 2 3 2 2 9 1 4 4 5 4 4 4 5 2 3 2 5 3 2 2 2 3 3 3 2 2 3
1 2 2 1 2 5 2 4 4 5 4 4 1 5 5 3 3 4 4 2 2 2 2 2 2 2 3 3
1 2 5 0 3 8 3 4 4 1 4 4 3 5 1 2 2 4 1 1 1 1 1 1 1 1 1 2
0 0 3 1 2 6 1 2 2 4 2 2 4 1 1 1 1 2 3 3 3 3 3 4 3 3 3 1
1 2 6 2 3 8 2 5 5 1 5 5 4 4 1 4 2 2 5 2 2 2 2 2 2 2 2 5
1 1 6 0 4 6 2 5 5 1 5 5 3 5 3 5 4 4 5 1 1 1 1 1 1 1 2 4
1 2 2 1 3 8 1 5 5 3 5 5 1 5 5 1 1 4 4 1 1 1 1 1 1 1 1 3
0 2 6 0 4 9 2 2 2 1 2 2 2 2 3 2 2 4 3 3 3 3 3 3 3 3 4 2
0 1 2 0 4 9 2 3 3 4 3 3 1 2 3 4 4 4 5 5 5 5 5 5 5 4 4 2
1 2 6 0 2 10 2 2 2 1 2 2 4 3 4 4 4 3 4 2 2 2 2 2 2 2 2 4
0 2 1 0 3 7 2 2 2 1 2 2 2 2 2 3 2 3 4 3 3 3 3 3 3 3 3 1
0 1 4 0 2 3 3 1 1 2 1 1 1 1 2 2 4 3 5 2 2 1 2 2 2 2 2 5
1 1 4 2 1 7 2 5 5 4 5 5 1 4 1 1 1 1 2 1 1 2 1 1 1 1 1 1
1 1 3 0 3 8 1 4 4 4 4 4 3 5 2 3 3 3 3 3 3 3 3 3 3 3 3 1
0 0 1 0 3 5 3 2 2 2 2 2 3 2 5 4 5 4 1 5 5 5 5 5 5 5 5 1
0 2 3 2 2 13 2 2 2 1 2 2 1 1 1 1 3 2 5 3 3 3 3 3 3 3 3 3
1 1 1 1 4 9 2 5 5 5 5 5 5 5 1 4 3 2 2 3 3 3 3 3 3 3 3 4
0 2 4 0 2 8 2 1 1 1 1 1 3 1 3 2 2 3 2 1 1 1 1 1 1 1 1 1
1 2 5 1 3 8 1 5 5 4 5 5 5 5 1 2 2 2 1 4 4 4 4 4 4 4 3 3
0 1 1 1 1 8 3 1 1 1 1 1 1 1 1 2 3 1 2 1 1 1 1 1 1 1 1 4
1 0 4 1 4 7 2 5 5 2 5 5 5 5 4 5 5 5 4 3 3 3 3 3 3 2 2 1
0 2 3 0 3 13 2 2 2 4 2 2 2 2 4 2 3 3 2 5 5 5 5 5 5 5 5 4
1 1 1 0 4 14 2 3 3 2 3 3 1 4 5 4 3 5 2 4 4 4 4 4 4 4 4 1
1 1 3 0 3 5 1 4 4 3 4 4 4 4 1 2 2 3 1 2 2 2 3 3 3 2 2 3
0 2 6 0 4 1 3 2 2 5 2 2 3 3 1 4 3 5 5 1 1 1 1 1 1 1 1 1
1 1 6 1 3 4 1 5 5 5 5 5 4 5 2 3 3 5 2 2 2 2 2 2 2 2 2 4
1 0 2 1 1 12 1 2 2 3 3 2 3 3 5 3 2 4 2 3 3 3 4 4 4 2 3 3
0 0 4 2 2 6 1 2 3 3 3 3 1 2 3 1 4 3 1 5 5 5 5 5 5 5 5 3
1 0 2 2 4 13 1 5 5 1 5 5 4 5 1 1 1 1 5 1 1 1 1 1 1 1 1 1
1 1 6 0 3 9 2 4 4 5 4 5 2 5 3 5 4 5 5 1 2 2 1 1 1 2 2 2
1 0 6 1 5 9 3 5 5 3 5 5 4 5 1 5 5 3 4 2 2 2 2 2 2 2 1 3
0 0 2 1 5 10 2 5 5 1 4 4 5 4 5 3 3 1 3 4 4 4 4 4 4 5 4 3
0 1 5 1 1 3 2 1 1 5 1 1 4 1 3 4 5 4 3 4 5 5 5 5 5 5 5 3
0 1 1 0 2 9 1 1 1 1 1 1 3 1 5 5 5 5 4 3 3 3 3 3 3 3 3 3
1 1 3 0 4 9 2 4 4 4 4 4 1 4 3 3 3 1 3 2 2 2 2 2 2 2 2 2
1 2 5 2 2 14 1 5 5 3 5 5 5 5 4 4 4 1 4 2 2 2 2 2 2 2 2 4
0 0 5 0 3 5 2 2 2 1 2 2 2 3 2 4 1 2 4 4 4 4 5 5 5 4 4 1
1 1 2 2 3 6 2 5 5 4 5 5 5 4 2 4 2 5 4 3 3 3 3 3 3 4 4 5
0 1 6 0 2 11 2 1 1 5 1 1 3 1 3 1 3 1 4 2 2 2 2 2 2 1 1 2
0 0 4 1 3 8 1 3 3 2 2 2 5 2 2 2 1 1 4 1 1 1 1 1 1 1 2 1
1 2 2 0 2 4 2 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2
1 0 2 1 1 10 1 3 3 2 3 3 4 4 1 2 1 2 3 4 4 4 4 4 4 4 4 5
0 0 6 1 1 6 2 1 1 5 1 1 2 1 1 1 1 1 5 3 2 2 2 2 2 2 2 4
1 0 3 1 4 7 1 4 4 1 4 4 2 4 4 4 5 4 5 2 2 2 2 2 2 2 1 1
0 0 6 2 3 7 1 4 3 4 3 3 1 4 4 3 3 4 5 4 4 4 4 4 4 4 4 5
0 0 4 0 2 1 3 1 1 3 1 1 5 1 5 3 4 2 5 4 4 4 4 3 4 4 4 3
0 2 5 0 4 9 2 2 2 3 2 2 4 2 3 4 5 3 5 3 4 3 4 4 4 4 4 4
1 0 4 1 3 8 2 5 5 1 5 5 5 5 4 2 1 2 1 5 5 5 5 5 5 5 5 3
0 2 5 0 2 10 3 1 1 1 1 1 2 1 1 1 3 3 2 4 4 4 4 4 4 4 5 1
0 0 6 1 2 4 1 1 1 5 1 1 1 1 2 1 1 2 5 2 2 2 2 2 2 2 1 3
1 1 2 1 2 9 2 4 4 5 4 4 3 3 5 5 3 2 2 1 1 1 1 1 1 1 1 2
1 2 4 1 2 5 1 4 4 5 4 4 2 4 5 2 1 2 5 2 2 1 2 2 2 2 3 3
1 0 5 0 1 8 2 2 2 2 2 2 2 2 2 2 1 1 3 2 2 2 2 2 2 2 2 4
1 2 1 1 3 7 1 5 5 3 5 5 1 5 2 3 2 3 1 4 4 5 5 5 5 5 5 3
0 0 2 2 4 7 1 4 4 3 4 4 1 5 4 2 5 4 4 3 3 3 3 3 3 3 4 4
1 2 5 0 3 7 1 4 4 4 4 4 1 3 3 2 2 1 1 2 2 2 2 2 2 2 2 5
0 2 3 2 3 13 1 3 3 5 3 3 2 3 3 1 2 1 5 1 1 1 1 1 1 1 2 3
0 0 3 2 4 10 1 4 4 2 4 4 5 5 2 2 2 2 5 5 5 5 5 5 5 5 5 5
1 0 3 0 5 9 2 4 4 2 4 3 4 4 1 1 1 1 2 4 4 4 4 4 4 4 4 5
0 2 6 1 4 7 2 3 3 1 3 3 2 4 4 2 2 2 4 3 4 3 4 4 4 5 4 3
1 0 2 0 4 12 1 5 5 1 5 5 3 5 5 5 5 5 4 1 1 1 1 2 1 1 2 4
0 2 4 0 5 12 2 3 3 1 4 3 4 4 3 1 2 2 1 5 5 5 5 5 5 5 5 1
1 0 5 1 3 9 3 5 5 2 5 5 4 5 5 2 5 5 5 4 4 3 4 4 4 4 4 3
0 2 5 1 4 7 1 3 3 1 3 3 5 4 4 4 2 3 3 3 3 3 3 3 3 3 2 5
1 0 1 2 4 9 3 5 5 3 5 5 5 5 4 1 3 1 3 1 1 1 1 1 1 1 1 2
1 1 1 0 1 4 2 3 3 1 3 3 2 3 4 4 4 3 1 3 3 4 3 3 3 3 3 1
0 0 2 0 4 11 1 3 3 5 3 3 4 2 4 4 3 4 5 5 5 5 5 5 5 5 5 2
1 2 3 0 2 12 3 3 3 3 3 3 5 2 5 3 4 1 3 3 3 3 3 3 3 3 4 2
0 0 3 0 3 8 2 2 2 5 2 1 2 1 1 1 2 4 5 3 3 4 3 3 3 2 2 2
1 2 1 0 3 8 2 5 5 4 5 5 1 5 5 4 4 3 1 2 2 2 2 2 2 2 2 2
0 0 3 0 4 7 1 2 2 1 2 2 4 2 1 1 3 3 5 2 2 2 2 2 2 2 2 1
0 2 6 0 2 9 2 1 1 5 1 1 2 1 4 4 2 5 4 1 1 1 1 2 1 1 1 2
0 0 2 1 3 11 1 2 2 4 2 2 4 2 4 3 2 2 5 5 5 5 5 5 5 5 4 5
0 1 4 1 5 7 2 4 4 3 4 4 5 5 4 5 5 5 3 4 4 4 5 5 5 4 4 1
1 1 1 0 1 4 3 2 2 3 2 2 2 1 4 2 2 3 2 1 1 2 1 1 1 1 1 1
0 0 6 1 2 14 2 2 2 4 2 2 1 3 4 4 4 1 2 4 4 3 4 4 4 4 4 5
1 2 2 0 3 8 2 5 5 1 4 4 5 4 5 5 5 5 2 1 1 1 1 1 1 1 1 4
0 1 4 1 1 12 2 1 1 3 1 1 4 1 1 1 1 1 1 2 2 1 2 2 2 2 2 1
0 0 1 1 2 1 3 2 2 1 2 1 3 2 1 4 5 5 4 4 4 4 4 4 4 4 4 3
0 0 4 0 2 8 1 1 1 2 1 1 4 1 1 3 5 4 5 2 2 2 2 2 2 2 2 5
0 1 4 2 1 7 2 1 1 2 1 1 5 1 2 3 1 1 2 5 5 5 5 5 4 5 5 5
0 0 1 2 5 3 2 5 5 4 5 5 1 5 3 2 1 1 5 4 4 4 4 4 4 4 3 5
0 0 6 0 2 8 2 1 1 1 1 1 1 1 3 4 1 2 1 3 3 3 2 2 2 3 3 3
1 1 6 0 4 5 3 5 5 5 5 5 5 5 4 4 5 4 2 5 4 4 4 4 4 4 4 5
0 0 5 0 4 6 2 3 2 3 2 2 4 1 5 4 4 5 1 5 5 5 5 4 5 5 5 3
0 1 2 1 2 9 3 1 1 1 1 1 5 1 3 5 3 3 5 4 4 4 4 4 5 4 3 3
1 2 5 1 2 9 3 4 4 3 4 4 5 3 4 5 5 2 3 2 2 2 3 3 3 3 3 1
0 1 6 0 3 7 2 2 2 1 2 2 3 2 3 4 5 4 2 2 2 2 2 2 2 2 2 1
0 0 1 1 2 8 2 2 1 1 1 2 5 2 1 1 1 2 1 4 4 3 4 3 4 4 4 3
0 0 5 0 3 11 2 1 1 3 1 1 5 2 5 4 4 4 1 4 4 4 4 5 4 4 4 2
0 2 6 0 2 8 2 1 1 1 1 1 2 1 4 3 3 3 4 1 1 1 2 2 2 1 1 1
0 0 1 0 4 6 1 3 3 2 3 2 1 2 4 5 5 5 4 3 3 3 4 4 4 3 3 4
0 2 2 0 1 3 2 1 1 2 1 1 4 1 3 2 1 2 4 4 4 4 4 4 4 4 3 3
1 1 2 1 1 6 2 4 5 2 5 5 4 5 1 2 4 1 2 1 1 2 2 2 2 1 1 1
0 0 6 1 2 10 2 2 2 4 2 2 1 2 2 2 2 4 5 4 4 5 5 5 5 4 3 3
1 2 2 0 4 14 2 5 5 2 5 5 3 5 4 3 3 4 1 3 3 3 4 4 4 3 3 1
1 0 6 0 4 5 2 4 4 2 4 4 1 5 2 4 3 5 3 1 1 1 1 1 1 2 1 2
