Genero Residencia HorasEstudio Empleo Actividades Colegio x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 Nota_AlgebraLineal Nota_IntroduccionIng Nota_Humanidades
0 0 4 1 1 1 2 2 2 3 4 2 2 2 3 2 3 2 2 2 2 40.24451183316174 36.8698046534032 36.57056578632507
1 0 2 1 0 0 4 1 4 4 4 2 2 5 3 2 2 3 3 2 3 39.0483494310064 46.06791339978948 42.08268660279091
0 1 5 1 1 1 3 2 4 5 5 3 3 4 2 3 2 3 3 3 3 67.47713871243133 42.12365893106227 44.180095224899574
1 1 2 1 1 0 1 5 2 2 1 4 4 1 4 4 3 5 5 5 5 79.04999731929033 81.25855625203555 56.038261478835324
1 1 1 1 1 0 2 3 3 3 4 5 5 1 5 5 3 4 4 4 4 72.85779867661522 62.039664352763054 52.764118265961464
0 0 3 1 1 0 4 1 3 3 4 1 1 2 1 1 1 2 2 2 2 36.36268897756007 46.39089539540473 22.42533678095799
1 0 2 1 0 1 1 5 2 1 2 2 1 2 1 2 2 2 1 1 1 34.41459807235168 26.758391104181815 30.021094551252144
1 1 2 1 0 1 5 5 5 5 4 2 2 5 1 2 1 4 3 4 4 52.52359813098047 49.738206498208264 37.802986402922535
0 0 3 1 1 0 3 4 3 3 4 3 3 1 3 3 3 1 1 1 1 36.02471508041992 45.11501857134011 31.51339741356252
0 0 1 1 0 1 4 4 3 4 2 3 3 2 3 3 4 2 3 2 3 47.02116187237383 36.77700262938999 29.512662418014415
1 0 2 1 1 1 5 5 5 4 5 4 4 4 3 3 5 2 2 2 2 34.5011158527007 38.90612730708812 39.69459609900956
0 1 3 1 1 0 2 1 2 3 2 2 2 5 2 2 1 3 3 3 3 52.5064230389319 48.406045315309036 37.98958857628015
1 0 3 1 0 1 5 3 5 5 4 1 1 4 1 1 1 3 3 3 3 42.94310317522946 42.50914374779403 42.936772798184784
0 0 4 1 1 0 2 3 2 2 3 1 1 5 1 1 3 1 1 1 1 42.73535963687568 26.755477677954595 18.528284289891555
1 0 3 1 1 0 5 5 5 5 4 3 3 5 3 3 4 1 1 2 1 47.26063147682194 46.2711733149327 47.71362268896606
0 0 4 1 1 0 3 1 2 2 3 2 2 4 3 2 3 1 1 1 1 42.24352836485553 45.486813107640906 29.756793173762297
0 0 2 1 0 1 5 1 4 3 5 5 5 3 5 5 1 2 1 2 2 47.24639924656594 33.117789837373365 40.7713365535639
1 1 3 1 0 1 4 4 4 5 4 4 4 2 4 4 1 5 5 5 5 70.67701843166833 79.5362314281768 28.665032123166316
1 1 3 1 1 0 5 2 5 4 5 1 1 1 1 1 1 3 4 3 4 41.86133658927196 54.219496555621475 60.60148850411482
0 0 4 1 1 0 4 4 3 3 2 5 4 5 4 4 3 1 1 1 1 59.711008210661575 24.95931963287961 55.147386321302946
0 1 1 1 1 1 4 1 4 3 5 5 4 2 5 5 1 3 3 3 3 50.80736842191335 43.432783998244254 44.80524081249747
1 1 2 0 1 1 5 3 5 5 5 4 5 3 4 5 4 5 5 5 5 66.13361920508753 64.08721410741649 70.96302780689508
0 0 5 1 1 1 2 1 3 3 3 3 2 3 3 2 5 2 1 1 1 50.25000718401722 32.21927208816828 32.051865604341884
1 0 5 1 1 0 5 4 5 4 5 2 2 4 2 2 2 3 3 3 3 56.33578784600659 65.54661575938873 63.54303261308238
0 1 1 1 1 1 3 3 3 4 4 5 5 2 5 5 4 5 5 5 5 67.05726391628116 61.167521268261865 34.06114163489597
0 0 1 1 1 1 2 2 2 2 2 2 2 4 2 2 2 1 1 1 1 5.985168333754874 38.266476538453084 24.277066870543706
1 0 3 1 1 0 2 4 2 4 2 2 2 1 2 2 5 2 2 3 3 51.29755746619403 64.29844388939254 65.11207819466478
1 1 2 0 1 0 1 1 1 2 3 5 5 5 5 5 4 4 4 4 4 66.84613023138596 61.789898663288476 52.094819692742476
0 1 2 1 1 0 4 2 4 4 2 5 5 5 5 5 4 4 4 4 4 69.03291579722229 58.003904138507174 49.540187077961725
0 1 4 1 1 0 5 1 4 4 4 2 2 2 1 2 4 4 4 4 4 63.17938016422394 53.92054806117024 64.52772771270405
0 0 3 0 0 0 1 4 2 1 1 1 1 2 1 1 3 1 1 1 1 38.68675772858258 29.108324604683563 29.545256510029244
1 0 4 0 0 1 4 1 4 3 4 2 1 3 1 1 5 2 2 1 2 36.01000902807355 54.39318410488287 26.108431513164042
0 0 5 1 0 1 1 2 2 2 1 1 1 3 1 2 2 2 1 1 1 31.12283803661923 23.016866450288486 20.416215019574146
1 1 3 1 1 0 3 5 3 2 4 4 3 2 3 4 3 4 4 4 4 60.9949537436382 64.18791234265132 54.19999854300261
0 1 4 1 1 1 1 3 1 1 1 2 2 1 2 2 1 3 4 4 4 60.30262827652628 62.44969325400133 62.175347479766785
0 0 2 1 1 0 2 2 2 2 3 2 2 4 2 2 3 2 2 2 2 42.90311688665899 29.897717667094696 44.51132488394903
1 0 3 1 1 1 5 2 5 5 5 2 2 2 2 2 1 3 3 3 3 58.857511133161545 40.89043763732042 62.33241794656104
1 0 3 1 1 0 5 1 3 2 2 2 2 4 1 2 4 3 3 3 2 56.38351629300696 49.43047019288514 33.14095541391592
0 0 3 1 0 1 2 1 3 2 3 4 4 5 5 4 5 1 1 1 2 32.21512008107818 31.72470965899028 54.84279391889875
0 0 2 1 0 0 1 1 1 1 1 4 4 1 4 4 3 2 2 2 2 53.28079602279612 42.075624792097315 30.864383289134775
1 1 3 0 0 1 3 4 3 4 4 5 5 1 5 5 3 4 4 4 5 68.7637433354453 60.61679091570949 51.1975676232125
1 0 5 1 1 1 4 1 4 3 2 3 2 5 2 2 5 3 3 3 3 43.43440076392668 63.2444257118411 71.46060279187459
0 1 3 1 1 1 1 4 1 2 1 4 4 1 4 4 3 4 4 4 4 50.134411347625544 49.82408129856852 47.703648741329175
0 1 1 1 0 0 4 3 4 3 2 5 5 5 5 5 1 5 5 5 5 62.29400565907262 73.66177204441988 64.36405487704403
0 1 3 0 0 0 1 5 1 1 1 4 3 2 4 3 2 4 4 4 4 63.28365311931156 59.20156874494068 58.549200537104
1 0 1 1 1 1 5 2 5 5 5 5 4 1 4 4 3 2 3 2 2 55.21440795743451 49.4684323843483 42.633071047974255
0 1 1 1 0 1 4 4 4 4 5 4 4 2 3 3 4 4 4 4 4 53.72008407666215 48.47821625080731 55.2249665260332
1 1 2 1 1 1 1 4 1 1 1 3 3 5 3 3 3 5 5 5 5 65.2153142586372 50.96620241681707 61.75315674149182
1 1 3 1 1 0 2 2 2 2 2 4 4 4 4 4 3 5 4 4 4 66.0354398047033 57.902855600649325 29.0973347156973
1 1 3 0 0 1 1 5 1 2 2 3 3 3 3 3 4 5 5 5 5 55.456378920048614 58.461106045968776 65.01076051047708
0 1 4 0 1 1 2 4 4 2 3 2 3 5 2 2 1 4 4 3 3 55.21701525648911 60.28062036859562 61.56826161605114
1 1 4 1 1 1 4 4 4 5 5 3 3 4 3 3 2 5 5 5 5 56.51613454846929 81.04133140770897 89.10870747702948
0 0 3 0 1 1 1 3 1 2 1 3 3 4 3 3 1 3 2 3 3 40.3335646060496 46.4098252610205 57.23099904115119
1 1 3 1 0 1 2 4 2 1 1 3 3 5 3 3 4 5 5 5 5 45.19163358767239 71.90699095566006 51.72865754917114
0 0 4 0 1 0 4 4 3 5 3 3 3 1 3 3 1 1 2 1 1 64.77246082849732 38.55186661963227 55.838345127000466
0 0 4 0 0 0 1 1 1 1 1 2 2 3 2 2 5 2 2 2 2 50.86046798090156 43.72059865518515 34.134827742404944
0 0 2 1 1 1 2 3 2 2 2 3 3 1 4 3 2 1 2 1 1 30.682159240563998 7.127989408419731 52.37057564543106
1 1 5 0 1 0 3 1 3 4 4 5 4 3 5 4 5 5 5 5 5 77.41149191193952 87.6736851296894 60.52933225266735
1 1 1 0 1 0 2 2 2 2 1 5 5 5 5 5 5 5 5 5 5 78.22394676037553 89.34773327953133 65.8171823155975
0 1 3 0 0 1 3 4 2 4 5 4 4 3 3 4 2 4 4 5 4 52.50106455492287 50.364562578912235 46.51589612499982
1 0 2 1 1 1 5 2 5 4 5 5 5 5 4 5 4 2 2 2 2 39.892822924692084 35.722331571904554 43.80469771744052
0 1 3 1 1 1 4 3 4 3 4 2 3 5 3 3 2 3 3 3 3 37.16844270169455 32.83965290489016 47.00696715731507
1 0 3 1 1 0 2 4 2 2 1 1 1 5 2 2 4 2 2 2 3 45.92767785046243 48.957160013949135 63.12816637109818
0 1 2 1 0 0 5 1 5 5 3 4 5 3 5 5 4 4 4 4 4 61.271866684552485 56.53124942379126 41.70930596867126
0 0 4 1 0 1 3 4 2 2 3 1 1 5 2 2 3 1 1 1 1 36.369251326524825 21.817947827671212 46.04054448724848
0 0 4 1 1 1 2 1 2 1 3 1 1 3 1 1 2 1 1 1 1 21.677898402350564 22.67902760339767 31.14097315202908
0 1 2 1 1 0 4 1 4 5 5 4 2 4 2 3 5 4 4 3 3 55.50578924372738 65.98139221121366 68.3802157804981
1 0 2 1 1 1 1 1 1 2 2 1 1 4 1 1 2 3 3 3 3 50.94500714760848 51.89737977246285 29.403945557995904
1 0 3 1 0 1 3 2 4 3 3 1 1 5 2 1 1 3 3 3 3 28.099612863690318 33.05851478244164 36.74046707542296
0 0 3 1 1 1 2 1 2 2 2 1 1 5 1 1 3 1 1 1 1 34.85034746070936 16.043992062993702 40.70459902115558
1 0 4 1 1 1 2 5 3 2 3 1 1 4 1 1 5 1 2 1 1 29.64060683181421 42.07944622476934 42.825315422458054
0 0 3 0 1 1 3 5 2 3 4 1 1 2 1 1 3 1 1 1 1 28.87760234524092 18.137653987877133 28.068059177400045
0 0 2 1 1 0 4 2 4 5 4 1 2 3 1 1 5 1 1 1 1 34.29876324559891 18.842200755065335 43.26703926963416
0 0 2 0 0 1 3 1 3 4 4 1 1 2 1 2 2 1 2 1 2 34.677863579835986 29.385227153466992 31.768712274163
0 0 1 0 1 0 3 1 3 4 3 3 3 1 3 4 4 1 1 1 1 14.478241046718788 32.19156709867522 20.272780498757044
1 1 3 1 0 0 1 2 1 1 1 2 2 5 2 2 1 5 4 5 5 47.913575272676354 80.7573943855378 37.14954550174879
1 1 2 1 0 1 1 4 1 2 1 3 3 5 3 3 1 5 5 5 5 55.71450822031322 74.5738130903615 51.09113534751519
1 0 3 1 1 0 4 5 2 3 3 1 1 1 1 1 1 3 3 3 3 38.97856915049532 59.936153020823376 47.76141279817638
0 0 3 1 0 0 3 4 4 3 5 1 1 5 1 1 2 1 1 1 1 11.338816691670523 45.63866812250806 36.477316314208494
0 1 3 0 1 1 5 3 5 5 5 5 5 1 5 4 5 5 5 5 5 67.98368589102765 80.66261099002793 76.99997445068297
1 0 2 1 1 0 3 1 2 2 1 1 1 5 1 1 2 3 3 3 3 31.523864657461058 39.45505270143025 59.42970517886054
1 1 3 1 1 0 5 5 5 5 5 4 4 2 4 4 2 5 5 4 4 66.44002694111389 75.5542892515522 39.57326360511007
0 0 3 1 1 0 2 2 4 4 4 2 2 5 2 1 3 1 2 2 2 46.2884608011305 36.62855419000836 48.79581174768139
1 1 1 1 0 0 3 4 2 2 2 5 5 5 5 5 5 4 4 4 4 67.29232022713123 54.992295336011026 42.937765167788186
1 1 2 1 0 1 5 4 5 5 5 5 5 3 5 5 2 5 5 5 5 66.83739786251468 70.02489284979245 46.52739738658033
0 0 2 1 0 1 5 3 5 5 3 4 4 3 4 4 4 2 1 1 1 35.41216041375008 30.196864039896948 21.43900386195041
1 0 2 1 1 0 3 1 4 4 5 3 3 1 4 4 2 2 3 3 2 41.986972600749766 40.91928393665234 66.31822454975446
0 1 4 1 0 0 4 1 4 3 4 5 5 2 5 5 2 4 5 4 5 86.96303503417721 67.68616722532367 54.61014740522236
1 0 2 0 1 0 3 4 3 4 4 3 3 1 3 3 3 1 1 1 1 36.45743262710705 29.010884406621447 38.42941879023815
0 0 2 1 0 0 1 3 2 2 2 4 4 4 4 4 1 1 1 1 1 43.52839701726848 44.366190944017376 19.41175170484121
0 0 4 1 1 1 2 3 1 1 3 3 3 5 3 4 1 1 3 1 2 51.28343716349412 39.120133217028645 41.128031923104196
1 0 2 1 1 0 4 2 3 3 5 2 3 1 2 3 4 1 2 1 1 44.14872444854445 51.87082152021224 42.567761755438084
1 0 3 0 0 0 3 2 2 3 2 4 4 5 4 4 5 1 1 1 1 43.586108146934016 38.23264293469836 25.645228278839518
1 0 2 1 1 1 1 2 2 2 2 2 2 3 3 2 4 3 3 3 3 38.73134538625008 39.17903584128964 36.39879713059535
0 0 1 1 0 0 5 2 5 5 5 2 1 5 2 2 5 2 2 2 2 38.13130416425468 43.27742935762975 64.93828027257457
1 0 1 1 1 1 5 3 5 4 5 2 2 5 1 1 5 3 2 2 2 16.54230370051637 31.16062537200247 58.8075408534193
1 1 5 1 1 0 1 4 2 2 2 5 5 3 5 5 1 5 5 5 5 89.12816022208366 72.73067182244131 66.6379797750556
1 1 1 1 1 0 2 4 4 3 3 5 5 3 5 5 4 5 5 5 5 64.21575748278329 76.65789815466874 51.88769224742124
1 0 2 0 0 1 4 2 4 5 5 3 2 3 3 3 5 2 1 1 2 23.35526731568217 30.02187949834972 47.21916710018216
1 1 2 0 1 1 2 3 2 3 1 5 4 4 4 4 4 5 5 5 5 50.82916076082958 86.0726888407764 45.19495267106866
0 0 4 1 0 0 1 4 1 1 1 4 4 1 5 4 5 2 1 2 2 55.284846229764625 46.75658454940715 20.0923856187855
1 0 5 1 0 0 1 5 1 1 2 3 3 1 3 3 2 2 2 2 2 48.986027769519346 60.78148795747067 36.279157160800985
0 0 1 1 0 0 5 3 5 5 5 2 2 2 2 2 5 1 1 1 2 28.36811979892063 30.357030391036986 10.221238015092284
1 1 3 1 1 1 1 3 1 1 1 5 5 1 5 5 5 4 5 5 5 57.74881542379822 71.31690019467287 64.66720510125495
0 1 1 1 0 0 1 3 1 1 1 5 5 1 5 5 3 4 4 4 3 55.048042871264784 55.874997105136785 62.56786936017386
1 0 3 1 1 1 5 1 4 4 3 2 1 2 1 1 5 2 2 2 2 44.593560683952965 46.474802218153435 48.50222570160018
1 1 2 0 1 1 2 5 3 3 2 4 4 3 4 4 3 5 4 5 5 68.78510073667643 74.8201934121906 48.40895935407268
0 0 3 1 1 1 4 4 4 3 3 2 2 5 2 2 1 1 2 1 2 29.625708825274163 42.70721376223535 33.46837335899625
1 1 3 1 1 1 4 2 4 5 4 1 1 2 1 1 2 3 5 4 4 37.74269778865512 94.17556542682325 49.065163879602224
1 0 3 0 1 1 1 4 1 1 1 3 3 3 2 3 2 3 3 3 3 33.229665941857505 48.44269648620341 46.18408242676964
0 0 3 1 1 0 5 5 5 5 5 1 1 5 1 1 1 1 1 1 1 16.007610460902015 22.609819300572894 45.886641636428216
0 1 4 1 0 1 1 5 1 1 1 4 3 3 3 3 3 4 4 4 4 62.67395607278039 60.31154941924977 15.896521119946067
1 1 3 0 1 1 3 1 2 1 2 1 2 2 1 1 2 5 5 5 5 74.95549408196038 85.81084895009069 55.739773750881085
0 1 3 1 1 1 4 3 5 4 4 3 4 1 3 3 5 3 3 3 3 50.609346952471846 76.06586045382248 37.910721011948745
0 0 2 1 1 1 4 2 5 4 5 4 4 2 4 3 5 1 1 1 2 36.47811395593208 44.43899921302876 44.93797487947014
1 1 3 1 1 1 1 1 1 1 2 5 5 3 5 5 1 5 5 5 5 76.76860811747036 65.89563213834579 52.47719372704867
0 0 1 1 1 1 5 5 5 5 4 2 2 5 2 2 4 1 1 1 1 18.377727229399017 11.334070288753496 31.774202335933794
0 0 1 1 0 1 4 1 2 2 4 2 2 3 3 2 2 1 1 1 1 1 1 38.09340573491811
1 1 2 1 1 0 2 4 2 2 1 5 4 1 4 5 1 4 4 5 5 67.40404408043185 58.48813494521868 55.63117658841273
0 1 1 1 1 1 4 4 4 4 3 5 5 5 5 5 1 4 4 4 4 62.6262817434381 57.036290699653605 73.12661069327667
0 0 1 1 1 1 1 5 1 2 2 1 1 4 1 1 1 1 1 1 1 11.946786579286519 26.295965098940314 24.129584701654082
0 1 2 1 1 1 1 2 2 1 1 3 4 5 4 4 2 4 4 4 4 62.22414736317125 47.48964790849819 64.74436072717324
0 1 5 0 1 0 4 4 4 4 2 5 5 2 5 5 3 4 4 4 4 82.88108196980197 71.20468763979079 67.37388973907105
0 1 1 1 1 1 1 3 1 2 3 2 2 3 2 2 1 3 4 4 4 43.93555227631387 51.2261523208166 53.12085235764822
1 0 3 0 1 1 4 2 5 5 5 1 1 5 2 2 2 3 3 3 3 33.98846843288072 47.71285133828015 57.487110327299185
0 0 4 1 1 1 4 2 4 4 3 4 4 5 4 4 5 1 1 1 1 36.77555957386623 58.626292235520474 38.016709147897295
0 1 3 0 1 0 4 1 5 4 4 4 4 4 4 4 3 4 4 4 4 59.80037150534319 51.42228765499734 67.0729584856608
1 1 1 1 0 0 2 2 2 2 4 5 5 3 5 5 3 5 4 5 4 60.423839143214266 72.07297961421682 29.848539085133492
1 1 2 1 1 1 4 4 5 4 5 5 5 3 5 5 5 5 4 4 4 69.9745256126535 72.05477640127965 55.94029423682134
1 1 3 1 0 1 1 4 2 1 2 2 1 1 1 2 2 4 5 4 4 54.071474438957296 52.829592252719095 28.974977766804756
0 0 3 1 1 1 5 1 4 5 5 1 1 2 1 1 1 3 2 3 3 15.490024177143567 55.28065588942695 51.92070333663862
0 1 3 1 0 0 5 1 5 5 5 5 5 3 5 5 2 3 3 3 3 69.15878166643628 61.17631725922088 34.494315462760284
1 1 2 0 1 0 5 3 5 5 5 5 5 4 5 5 4 4 4 4 5 80.41201959534546 62.27844849475854 74.4088754943864
1 0 3 1 1 0 3 1 4 4 4 1 1 5 1 1 3 1 2 2 2 59.10898083772339 28.831981827513438 30.402811226363042
0 0 3 1 1 1 1 4 2 2 1 1 1 5 1 1 5 3 3 3 3 44.62105285531784 49.5031857867787 57.268781369230965
1 1 3 0 0 1 3 5 3 3 4 3 3 5 3 4 3 5 5 5 5 49.935318388538796 65.09599658795565 52.273609932013024
0 1 3 1 1 0 5 5 5 5 5 5 4 5 4 4 2 4 4 4 4 63.992615184713884 68.52462896839067 61.53300738327684
0 1 4 1 1 1 3 5 2 3 4 3 3 2 3 3 2 4 5 4 4 57.88531724927219 74.96385735470047 54.971568261859424
1 1 3 1 1 0 3 1 2 2 2 4 4 4 5 5 1 4 4 4 4 67.92554233052654 55.10544347076853 47.625984983120134
1 0 3 1 0 0 5 5 4 5 5 1 2 3 2 2 3 2 2 2 2 44.76653275135962 37.775322880785026 55.075519485010894
0 0 1 1 0 0 2 2 2 1 2 3 4 2 4 3 3 1 1 1 1 42.425852828276824 34.21621331559409 46.72328439581292
0 0 2 1 1 1 1 3 1 1 4 3 3 1 3 3 3 2 3 2 3 14.977721740032305 34.40093168942173 34.113551712851596
0 1 4 1 0 0 5 4 5 5 5 4 5 5 5 5 2 4 4 4 4 67.557219200709 78.23298260725538 61.37057479461304
1 1 2 1 0 0 4 2 3 4 2 5 5 5 5 5 1 5 5 5 5 78.00165613427451 64.05567580608445 54.41414693489664
0 1 3 1 1 1 2 5 3 4 3 2 3 3 3 3 4 4 4 4 4 48.95700758970128 53.73328009302663 74.28457901486914
0 1 2 1 1 0 4 1 4 5 3 5 5 1 5 5 3 4 4 4 4 60.715713994639486 85.84140396483458 48.03172273787156
1 1 2 1 0 0 1 3 1 1 1 3 3 2 3 3 2 5 5 5 5 75.07857960877914 70.0760933073611 51.339402699062056
0 1 2 0 0 0 4 1 4 4 4 5 5 5 4 5 1 4 4 4 4 64.4776714290781 59.43345025907386 30.583281449778802
0 1 5 0 1 0 3 4 4 4 3 4 4 4 3 4 4 4 4 4 4 79.81551099911593 69.18834438013286 53.06353460579884
0 0 2 0 0 1 2 5 2 2 2 2 2 1 2 2 4 1 1 1 1 30.311150853915876 25.79777607812851 23.531461183999706
1 0 2 1 0 1 2 4 3 3 2 2 1 1 1 1 3 2 2 2 2 17.22916282562545 32.093028067748975 27.963870396921397
1 1 5 1 1 1 3 3 3 3 3 5 5 4 4 5 3 5 5 5 5 82.49587829312915 81.29641247453276 71.74261293699146
1 0 2 0 0 0 3 3 3 3 2 2 2 1 2 2 3 3 3 3 3 30.868332528977373 59.18201201993004 64.51312980485295
0 1 2 1 1 1 4 1 4 5 4 5 5 5 5 5 2 3 3 3 3 59.82270020718429 49.87162472920961 62.74681579555169
1 0 2 1 1 0 2 4 1 1 1 3 3 4 2 3 4 2 1 2 2 28.737220614272477 32.466294684632246 46.371631193981536
1 1 5 1 1 1 2 3 2 2 2 5 4 1 5 4 1 5 4 5 5 62.792434544234375 73.82929886571318 41.92395112718102
1 1 2 1 1 0 1 2 1 1 1 5 5 2 5 5 3 4 4 4 4 63.708961076124275 38.446642125372534 73.50873754658431
0 1 4 1 1 1 2 1 3 3 3 5 5 1 5 5 1 4 4 4 4 85.26210615525454 67.86581075812595 66.12689964894415
0 1 3 1 1 1 4 5 3 2 2 1 1 4 1 1 5 3 3 3 3 51.572612827075 65.60328049673006 24.03559562918007
1 1 2 1 1 1 3 1 2 3 3 4 4 1 4 4 1 4 4 4 4 57.947955767791655 71.622486373093 60.61851572324397
0 0 2 1 1 0 2 2 3 1 2 4 4 4 4 4 3 1 1 1 1 49.30287126129741 22.926978430938433 41.31469854221069
0 0 5 1 1 1 4 1 3 3 4 2 2 5 2 2 5 1 1 1 1 43.684029020570115 33.9315427088376 35.11066197171137
1 0 2 1 0 0 3 3 2 2 3 3 3 5 3 3 3 3 3 3 3 40.22074485466721 34.89129790392384 23.023608910575827
0 1 5 1 1 0 5 3 5 5 5 5 5 3 5 5 3 4 4 4 4 84.75582058449287 69.23066791564607 44.67531877105702
0 0 1 1 0 0 1 5 1 1 1 1 2 4 2 1 1 2 1 1 1 39.40578553765167 28.890376930597654 42.81061911971374
0 0 1 0 0 1 3 4 2 2 2 1 2 4 1 2 3 2 1 2 2 36.543141159050215 35.08435661675275 60.529957197530074
1 0 4 1 1 1 2 4 2 3 4 1 1 5 1 1 2 2 2 2 3 29.72885548039215 57.42767053247112 36.24981587790465
0 1 1 1 1 0 5 5 5 5 4 3 3 1 3 3 4 4 4 4 4 63.378253464430905 65.67319702943858 93.56768563051146
1 0 4 1 1 1 4 1 4 4 4 2 2 4 3 2 1 3 3 3 3 46.23438135504438 52.71440123616168 48.664514091921376
1 1 3 1 1 0 1 4 1 2 1 5 5 4 4 5 3 5 5 5 5 78.64217785933334 87.29520984761862 58.19660815015416
1 1 2 1 0 1 5 5 5 5 5 5 5 1 5 5 5 5 5 5 4 66.10333796898446 64.91311717727694 38.882280777660334
1 0 3 1 1 1 5 4 5 5 5 5 4 3 5 4 4 2 2 2 2 48.66894166629791 44.19007216929571 51.8488788422665
0 0 2 1 0 0 3 2 3 3 2 2 3 5 3 3 4 1 1 1 1 29.923688536160725 30.972359234740413 64.16440266225298
1 0 2 1 0 1 3 4 3 4 4 5 5 3 5 5 1 2 2 2 2 42.062099457882844 39.716838247614405 61.75207791784612
0 1 2 1 1 1 5 1 5 4 4 4 4 3 4 4 5 4 4 3 3 58.9014610897787 49.49223410426479 46.14086936784479
1 0 3 1 1 1 2 5 4 3 2 2 2 3 2 2 1 2 2 3 2 45.008248088713486 44.980575575843055 24.061894502069933
1 1 2 1 1 1 3 5 3 4 4 5 5 2 5 5 3 5 5 5 5 74.32063039877264 67.8659200340509 56.27275873779735
0 0 1 1 1 1 5 4 5 5 5 2 2 3 3 3 5 1 1 1 1 31.52593386059543 30.903528398972767 46.87786738468029
0 1 3 0 1 1 4 1 4 4 5 4 4 5 5 4 1 5 5 5 5 58.47560021024648 53.319603500483076 55.14205043619962
1 0 3 0 1 1 1 5 1 1 3 3 3 3 3 3 2 2 2 3 3 36.50750352659332 46.279321422634766 45.01391060720329
1 0 3 1 1 1 1 1 1 2 3 3 4 2 4 4 3 2 2 2 2 44.64948193528799 47.61742984490186 78.90230195384254
0 0 2 0 0 1 2 4 2 1 1 3 3 4 3 3 3 1 1 1 1 32.76188820813785 26.730936582097193 13.752945415830723
0 0 1 1 0 1 5 1 5 5 4 1 1 4 1 1 5 2 3 2 2 28.183983975691888 39.089121996644664 36.82233069582562
1 0 3 0 1 0 5 2 5 5 5 4 4 3 4 4 1 2 2 2 2 63.02359264034953 51.37923195739153 52.4045557767175
1 0 4 1 1 1 2 3 4 4 3 1 1 1 1 1 4 2 3 3 2 44.89752150171263 65.63603513551753 47.36677792363855
